ID,Date_start_contract,Date_last_renewal,Date_next_renewal,Date_birth,Date_driving_licence,Distribution_channel,Seniority,Policies_in_force,Max_policies,Max_products,Lapse,Date_lapse,Payment,Premium,Cost_claims_year,N_claims_year,N_claims_history,R_Claims_history,Type_risk,Area,Second_driver_flag,Year_matriculation,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight,Age
9,2013-10-24,2016-10-24,2017-10-24,1949-10-22,1995-05-17,1,6,1,3,1,0,2017-10-24,0,259.12,0,0,2,0.5,3,0,Yes,2013,65,1870,13140.0,5,D,4.129,1125,75.75359342915812
9,2013-10-24,2017-10-24,2018-10-24,1949-10-22,1995-05-17,1,6,3,3,1,1,2017-10-24,0,214.34,0,0,2,0.5,3,0,Yes,2013,65,1870,13140.0,5,D,4.129,1125,75.75359342915812
12,2016-04-05,2018-04-05,2019-04-05,1946-06-04,1966-10-12,1,3,1,1,1,1,2018-04-05,1,488.81,0,0,8,4.0,2,0,Yes,2007,70,1248,13780.0,4,D,4.159,1295,79.13757700205339
13,2016-05-13,2017-05-13,2018-05-13,1951-02-16,1976-10-16,0,3,1,1,1,0,2018-05-13,0,257.39,0,0,0,0.0,3,1,No,2007,75,1390,8548.0,4,P,4.25,1050,74.43394934976044
13,2016-05-13,2016-05-13,2017-05-13,1951-02-16,1976-10-16,0,3,1,1,1,0,2018-05-13,0,248.68,0,0,0,0.0,3,1,No,2007,75,1390,8548.0,4,P,4.25,1050,74.43394934976044
13,2016-05-13,2018-05-13,2019-05-13,1951-02-16,1976-10-16,0,3,1,1,1,1,2018-05-13,0,254.81,0,0,0,0.0,3,1,No,2007,75,1390,8548.0,4,P,4.25,1050,74.43394934976044
22,2014-11-11,2015-11-11,2016-11-11,1944-04-01,1964-05-01,0,5,1,1,1,0,2018-11-11,0,274.61,0,0,1,0.25,3,0,No,2004,100,1896,15571.0,5,D,3.953,1165,81.31143052703628
22,2014-11-11,2016-11-11,2017-11-11,1944-04-01,1964-05-01,0,5,1,1,1,0,2018-11-11,0,269.72,0,0,1,0.25,3,0,No,2004,100,1896,15571.0,5,D,3.953,1165,81.31143052703628
22,2014-11-11,2017-11-11,2018-11-11,1944-04-01,1964-05-01,0,5,1,1,1,0,2018-11-11,0,269.72,0,0,1,0.25,3,0,No,2004,100,1896,15571.0,5,D,3.953,1165,81.31143052703628
23,2017-06-08,2018-06-08,2019-06-08,1959-04-13,1986-04-28,0,2,1,1,1,1,2018-06-08,0,444.88,0,0,0,0.0,3,1,Yes,2012,90,1598,19550.0,5,D,4.315,1365,66.28062970568104
23,2017-06-08,2017-06-08,2018-06-08,1959-04-13,1986-04-28,0,2,1,1,1,0,2018-06-08,0,431.93,0,0,0,0.0,3,1,Yes,2012,90,1598,19550.0,5,D,4.315,1365,66.28062970568104
24,2015-12-17,2015-12-17,2016-12-17,1960-05-31,1982-10-14,0,1,1,1,1,1,2016-06-17,1,328.02,0,0,0,0.0,2,0,No,2001,115,2799,24063.94,2,D,5.584,2223,65.14715947980835
26,2015-11-04,2016-11-04,2017-11-04,1961-08-09,1979-09-03,1,2,1,1,1,1,2016-11-04,1,348.31,0,0,0,0.0,3,0,No,2011,71,999,14450.0,2,P,2.695,780,63.95619438740589
26,2015-11-04,2015-11-04,2016-11-04,1961-08-09,1979-09-03,1,2,1,1,1,0,2016-11-04,1,338.16,0,0,0,0.0,3,0,No,2011,71,999,14450.0,2,P,2.695,780,63.95619438740589
